aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-0007e93d177c,Hong Kong,open,MCGC_model_prediction,0.0454,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-000bc7014957,Hong Kong,open,MCGC_model_prediction,0.3599,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-000cf0d0ae26,Hong Kong,gated,MCGC_model_prediction,0.9698,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0010e6f3c5f1,Hong Kong,open,MCGC_model_prediction,0.0136,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0014048d9df3,Hong Kong,open,MCGC_model_prediction,0.0328,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-00145203b9fb,Hong Kong,open,MCGC_model_prediction,0.4189,low,<5k_m2,<1,0,0,yes,yes
GBA-10-0019f7625320,Hong Kong,open,MCGC_model_prediction,0.0363,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-001a3e3b946c,Hong Kong,open,MCGC_model_prediction,0.0155,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-001e84aa9362,Hong Kong,gated,MCGC_model_prediction,0.5409,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-0028356584d1,Hong Kong,open,MCGC_model_prediction,0.0368,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-002eb0480652,Hong Kong,gated,MCGC_model_prediction,0.6992,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0034813395cc,Hong Kong,open,MCGC_model_prediction,0.0054,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0046b5b0297d,Hong Kong,open,MCGC_model_prediction,0.0162,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-004d38233880,Hong Kong,open,MCGC_model_prediction,0.3202,low,<5k_m2,1_2,0,0,yes,yes
GBA-10-0059d6ef3c5b,Hong Kong,open,MCGC_model_prediction,0.1123,high,<5k_m2,2_4,0,0,yes,yes
