aoi_id,city,centroid_lon,centroid_lat,area_m2,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-0007e93d177c,Hong Kong,114.181839,22.330455,861.75,open,MCGC_model_prediction,0.0454,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-000bc7014957,Hong Kong,114.216262,22.225576,2546.75,open,MCGC_model_prediction,0.3599,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-000cf0d0ae26,Hong Kong,114.293805,22.389834,961.68,gated,MCGC_model_prediction,0.9698,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0010e6f3c5f1,Hong Kong,114.179773,22.331445,1097.86,open,MCGC_model_prediction,0.0136,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0014048d9df3,Hong Kong,113.976139,22.398815,223.06,open,MCGC_model_prediction,0.0328,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-00145203b9fb,Hong Kong,114.115208,22.369830,3617.23,open,MCGC_model_prediction,0.4189,low,<5k_m2,<1,0,0,yes,yes
GBA-10-0019f7625320,Hong Kong,114.173441,22.296629,518.10,open,MCGC_model_prediction,0.0363,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-001a3e3b946c,Hong Kong,114.190196,22.257802,582.64,open,MCGC_model_prediction,0.0155,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-001e84aa9362,Hong Kong,114.188514,22.265535,1096.05,gated,MCGC_model_prediction,0.5409,low,<5k_m2,2_4,0,0,yes,yes
GBA-10-0028356584d1,Hong Kong,114.178074,22.330162,990.55,open,MCGC_model_prediction,0.0368,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-002eb0480652,Hong Kong,114.273287,22.319705,10555.26,gated,MCGC_model_prediction,0.6992,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0034813395cc,Hong Kong,114.242737,22.506639,257.20,open,MCGC_model_prediction,0.0054,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0046b5b0297d,Hong Kong,114.032335,22.436661,1291.26,open,MCGC_model_prediction,0.0162,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-004d38233880,Hong Kong,114.193924,22.256044,2601.92,open,MCGC_model_prediction,0.3202,low,<5k_m2,1_2,0,0,yes,yes
GBA-10-0059d6ef3c5b,Hong Kong,114.222413,22.280902,337.55,open,MCGC_model_prediction,0.1123,high,<5k_m2,2_4,0,0,yes,yes
GBA-10-006b26b58a43,Hong Kong,114.026468,22.439903,1896.82,gated,MCGC_model_prediction,0.6113,low,<5k_m2,<1,0,0,yes,yes
GBA-10-007814e68f40,Hong Kong,114.184888,22.267336,1019.87,open,MCGC_model_prediction,0.0601,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-007a1befd8ef,Hong Kong,114.151268,22.280491,375.12,open,MCGC_model_prediction,0.0917,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-007b9a674322,Hong Kong,113.982777,22.467528,105.54,open,MCGC_model_prediction,0.0047,very_high,<5k_m2,1_2,0,0,yes,yes
GBA-10-0080af750bbd,Hong Kong,114.071309,22.425785,1554.12,open,MCGC_model_prediction,0.0429,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-0081e5bc5196,Hong Kong,114.180785,22.278650,624.47,open,MCGC_model_prediction,0.1659,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-008988cec882,Hong Kong,113.966710,22.391065,17531.29,gated,MCGC_model_prediction,0.5342,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-008c0ca26143,Hong Kong,114.080961,22.369348,577.52,open,MCGC_model_prediction,0.1349,high,<5k_m2,<1,0,0,yes,yes
GBA-10-0096b7983c8a,Hong Kong,114.174098,22.278657,478.83,open,MCGC_model_prediction,0.0116,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-009b47b6d31e,Hong Kong,114.183303,22.370471,336.50,open,MCGC_model_prediction,0.0243,very_high,<5k_m2,2_4,0,0,yes,yes
GBA-10-009ef6e7da3b,Hong Kong,114.173126,22.338586,12419.64,gated,MCGC_model_prediction,0.9490,high,10k_25k_m2,<1,0,0,yes,yes
GBA-10-009ff568aca3,Hong Kong,114.171307,22.276101,184.67,open,MCGC_model_prediction,0.0480,very_high,<5k_m2,>=8,>=0.005,1_2,yes,yes
GBA-10-00adbaf49b4e,Hong Kong,114.167837,22.275604,1249.31,open,MCGC_model_prediction,0.2114,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-00b345331e90,Hong Kong,114.169784,22.321635,3834.14,open,MCGC_model_prediction,0.3509,low,<5k_m2,4_8,0.001_0.002,3_5,yes,yes
GBA-10-00c73b4d02c2,Hong Kong,114.140970,22.288343,320.20,open,MCGC_model_prediction,0.1371,high,<5k_m2,>=8,0,0,yes,yes
